,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Transportation Freight,,,Service requested,,,CIMS.CAN.ON.Transportation Freight,,k*tkm,175117229.126827,190912455.599757,167237836.180829,204855337.242311,217628700.248506,227997721.52388,238895667.094,250349517.413638,262387629.211919,275039805.696139,288337370.336694,
CIMS.CAN.ON.Transportation Freight,Sector,ON,,,,Service provided,,,,,k*tkm,,,,,,,,,,,,
CIMS.CAN.ON.Transportation Freight,Sector,ON,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.CAN.ON.Biodiesel,AFDC 2023,,2.28589498029498,1.43760113963645,1.21603224707252,1.2151310423764,1.0818215223735,1.04777625173502,1.04777625173502,1.04777625173502,1.04777625173502,1.04777625173502,1.04777625173502,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,CER,,0.9539815539426,0.9539815539426,0.98994343024448,0.97246283085654,0.98182666513417,0.9848818041375,0.98927749890135,0.98806334430303,0.98741002378761,0.98681583262793,0.98676357067763,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.CAN.ON.Electricity,Commercial,,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,TODO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.CAN.ON.Ethanol,AFDC 2023,,1.27859974520867,1.23891997684786,1.37297164150595,1.28592388718037,1.16017013736052,1.11773005016576,1.11773005016576,1.11773005016576,1.11773005016576,1.11773005016576,1.11773005016576,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,0.38548377572461,0.44461532246086,0.58185367011856,0.61112233832391,0.6662663612811,0.71138432442333,0.74296954619943,0.78465335989466,0.81841260501779,0.82343535385725,0.83336351121102,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,CER,,0.96886582600025,0.96886582600025,0.97916524137457,0.96820262843413,0.97632192051871,0.97533820768952,0.98118453136473,0.98225983534346,0.98486718576854,0.98664477364856,0.98785788974124,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,AFDC 2023,,0.99996986622794,1.55773272994613,3.9983959237592,8.95408543966218,16.7592942064541,10.5778822046042,10.5778822046042,10.5778822046042,10.5778822046042,10.5778822046042,10.5778822046042,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Freight,Sector,ON,Transportation Freight,,,Service requested,,,CIMS.CAN.ON.Transportation Freight.Freight,,k*tkm,1,1,1,1,1,1,1,1,1,1,1,
