,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AT,Region,AT,Transportation Personal,,,Service requested,,,CIMS.CAN.AT.Transportation Personal,,k*pkm,55406902.7,60708690.96,61856078.76,67392831.99,70118897.61,72760986.51,76139199.55,79666261.86,83665150.74,88169596.8,93217061.17,
CIMS.CAN.AT.Transportation Personal,Sector,AT,,,,Service provided,,,,,pkm,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal,Sector,AT,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.CAN.AT.Biodiesel,JCIMS,,1.185929297,1.464170757,1.891858232,2.066505757,2.174590045,2.819536413,2.702833236,2.60320211,2.507266306,2.50562993,2.505542229,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,CER,,1.068933201,1.068933201,1.030855038,1.006522696,1.033948486,1.039228264,1.045851094,1.045840073,1.046269762,1.04625781,1.045673978,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.CAN.AT.Electricity,Residential,,2,2,2,2,2,2,2,2,2,2,2,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.CAN.AT.Ethanol,JCIMS,,1.752661079,1.81514991,1.905469824,1.9590734,1.83256956,2.068635692,2.304769825,2.584791638,2.450855589,2.45086333,2.450769901,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,CER,,1.051862278,1.051862278,1.008721111,0.949212799,1.018643432,1.016087639,1.019221816,1.021925717,1.023481613,1.024476368,1.025324508,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.CAN.AT.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1.062386325,1.076730072,1.036968596,1.070886112,1.06315903,1.057124472,1.052347468,1.050576805,1.047258425,1.047258425,1.047258425,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,JCIMS,,1.034336222,1.001437183,2.421580151,2.727095774,7.73583426,7.458725946,7.900077854,7.261102565,6.254898925,5.326610038,4.725487902,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,2.052422674,1.154470333,0.88298988,0.741123795,0.75675637,0.758264267,0.755986746,0.752855619,0.755947809,0.755947809,0.755947809,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,Service requested,,,CIMS.CAN.AT.Transportation Personal.Mode,,pkm,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal.Mode,Service,AT,Transportation Personal,Mode,,Service provided,,,,,pkm,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode,Service,AT,Transportation Personal,Mode,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode,Service,AT,Transportation Personal,Mode,,Service requested,,,CIMS.CAN.AT.Transportation Personal.Mode.Urban,,pkm,0.449725323,0.500702162,0.492538249,0.495434189,0.491089863,0.489788717,0.490016821,0.491607391,0.494399491,0.494399491,0.494399491,
CIMS.CAN.AT.Transportation Personal.Mode,Service,AT,Transportation Personal,Mode,,Service requested,,,CIMS.CAN.AT.Transportation Personal.Mode.Intercity Land,,pkm,0.402072098,0.347084447,0.334789531,0.324262354,0.321418985,0.320567384,0.320716678,0.321757708,0.323585142,0.323585142,0.323585142,
CIMS.CAN.AT.Transportation Personal.Mode,Service,AT,Transportation Personal,Mode,,Service requested,,,CIMS.CAN.AT.Transportation Personal.Mode.Intercity Air,,pkm,0.148202579,0.152213391,0.172672219,0.180257308,0.187256379,0.189352632,0.188985138,0.186422599,0.181924294,0.181924294,0.181924294,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,,Service provided,,,,,pkm,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,,Discount rate_financial,,,,,%,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,,Heterogeneity,,,,,,6,6,6,6,6,6,6,6,6,6,6,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Walk Cycle Urban,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Walk Cycle Urban,Available,,,,,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Walk Cycle Urban,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Walk Cycle Urban,Lifetime,,,,,Years,5,5,5,5,5,5,5,5,5,5,5,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Walk Cycle Urban,Market share,,,,,%,0.009,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Walk Cycle Urban,Output,,,,,pkm,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 3 Passenger,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 3 Passenger,Available,,,,,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 3 Passenger,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 3 Passenger,Lifetime,,,,,Years,5,5,5,5,5,5,5,5,5,5,5,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 3 Passenger,Market share,,,,,%,0.539,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 3 Passenger,Output,,,,,pkm,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 3 Passenger,Service requested,,,CIMS.CAN.AT.Transportation Personal.Passenger Vehicles,,vkm,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Available,,,,,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Lifetime,,,,,Years,5,5,5,5,5,5,5,5,5,5,5,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Market share,,,,,%,0.387,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Output,,,,,pkm,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Service requested,,,CIMS.CAN.AT.Transportation Personal.Passenger Vehicles,,vkm,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Public Transit Urban,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Public Transit Urban,Available,,,,,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Public Transit Urban,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
