CIMS.CAN.BC.Light Industrial.Water Heating,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC,Region,BC,Transportation Personal,,,Service requested,,,CIMS.CAN.BC.Transportation Personal,,k*pkm,69466745.3032481,68789192.1679656,69799093.8093905,71381915.9875606,84888764.8604646,87696298.3700434,91379435.2406167,95153387.3273876,99447783.3462791,104296104.448787,109735609.474646,
CIMS.CAN.BC.Transportation Personal,Sector,BC,,,,Service provided,,,,,k*pkm,,,,,,,,,,,,
CIMS.CAN.BC.Transportation Personal,Sector,BC,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Transportation Personal,Sector,BC,Transportation Personal,,,Price multiplier,,,CIMS.CAN.BC.Biodiesel,JCIMS,,1.18531070447968,1.46113190686282,1.9141508982703,2.08337634533833,2.1831574043583,2.84232261187302,2.73088442144286,2.63241680682958,2.5300679249112,2.52955333995074,2.52865630556284,
CIMS.CAN.BC.Transportation Personal,Sector,BC,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Transportation Personal,Sector,BC,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Transportation Personal,Sector,BC,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Transportation Personal,Sector,BC,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Transportation Personal,Sector,BC,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,CER,,1.06041875493321,1.06041875493321,1.14217986181606,1.1228458023767,1.10645914236825,1.04775384730898,1.0207889406585,1.023732534437,1.02891945866514,1.03425897612636,1.04004922386717,
CIMS.CAN.BC.Transportation Personal,Sector,BC,Transportation Personal,,,Price multiplier,,,CIMS.CAN.BC.Electricity,Residential,,2,2,2,2,2,2,2,2,2,2,2,TODO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.BC.Transportation Personal,Sector,BC,Transportation Personal,,,Price multiplier,,,CIMS.CAN.BC.Ethanol,JCIMS,,1.37058378501574,1.51582302966889,1.62259874443537,1.72417768065893,1.56853190108521,1.78079152030841,1.97796521493844,2.09230615915182,1.97662391582844,1.9766197104101,1.97654835452338,
CIMS.CAN.BC.Transportation Personal,Sector,BC,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Transportation Personal,Sector,BC,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,CER,,1.04249810892871,1.04249810892871,1.13201760696648,1.1477977309477,1.14234621570513,1.10311843109999,1.10432516032498,1.10775376050511,1.10852604590331,1.10991190561938,1.11252944747768,
CIMS.CAN.BC.Transportation Personal,Sector,BC,Transportation Personal,,,Price multiplier,,,CIMS.CAN.BC.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
