CIMS.CAN.ON.Transportation Personal.Transit.Public Bus,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Transportation Personal,,,Service requested,,,CIMS.CAN.ON.Transportation Personal,,k*pkm,216339980.786221,247319628.323116,263808439.243527,263669281.008121,287750305.991578,294671624.357541,304524944.305128,314475065.074156,325995995.033187,339178018.930715,354121699.094171,
CIMS.CAN.ON.Transportation Personal,Sector,ON,,,,Service provided,,,,,k*pkm,,,,,,,,,,,,
CIMS.CAN.ON.Transportation Personal,Sector,ON,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.CAN.ON.Biodiesel,JCIMS,,1.20140728535252,1.46258705159767,1.87565937986037,2.065822967787,2.17233816786086,2.82226305294495,2.7005718553512,2.6016775089512,2.5050661881433,2.50363401775289,2.50387541467882,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,CER,,0.9539815539426,0.9539815539426,0.98994343024448,0.97246283085654,0.98182666513417,0.9848818041375,0.98927749890135,0.98806334430303,0.98741002378761,0.98681583262793,0.98676357067763,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.CAN.ON.Electricity,Residential,,2,2,2,2,2,2,2,2,2,2,2,TODO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.CAN.ON.Ethanol,JCIMS,,1.42005962770181,1.47749599661148,1.46106421314183,1.59167602238077,1.49702879651437,1.68708832548389,1.88492373937055,2.09503049435873,1.98420384394662,1.98428417336029,1.98439601363267,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,CER,,0.96886582600025,0.96886582600025,0.97916524137457,0.96820262843413,0.97632192051871,0.97533820768952,0.98118453136473,0.98225983534346,0.98486718576854,0.98664477364856,0.98785788974124,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,JCIMS,,1.23280432114204,1.03746779353948,2.3441271629993,2.12637482558583,6.41052643689145,6.24145201060108,6.61959346183559,6.09240146545039,5.2690874938844,4.48710277747753,3.98072127280922,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1.80003099498478,0.99901402519828,0.79338826629708,0.64482686397599,0.6632137232518,0.66832870556357,0.66934599934946,0.66769717604099,0.67256397443226,0.67256397443226,0.67256397443226,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Service requested,,,CIMS.CAN.ON.Transportation Personal.Mode,,k*pkm,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal.Mode,Service,ON,Transportation Personal,Mode,,Service provided,,,,,k*pkm,,,,,,,,,,,,
CIMS.CAN.ON.Transportation Personal.Mode,Service,ON,Transportation Personal,Mode,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Transportation Personal.Mode,Service,ON,Transportation Personal,Mode,,Service requested,,,CIMS.CAN.ON.Transportation Personal.Mode.Urban,,k*pkm,0.54374751916682,0.54644057875531,0.55698835860374,0.54321665136658,0.53252568923777,0.53078857422161,0.52659528511515,0.52473040792886,0.52271436226774,0.52056522780425,0.51830030675973,
CIMS.CAN.ON.Transportation Personal.Mode,Service,ON,Transportation Personal,Mode,,Service requested,,,CIMS.CAN.ON.Transportation Personal.Mode.Intercity Land,,k*pkm,0.40670282041734,0.40087766682878,0.39534397116366,0.39308063036192,0.38770308933114,0.38320625200312,0.37682923381532,0.37235718596136,0.36799966689494,0.36376765696687,0.35966973362532,
CIMS.CAN.ON.Transportation Personal.Mode,Service,ON,Transportation Personal,Mode,,Service requested,,,CIMS.CAN.ON.Transportation Personal.Mode.Intercity Air,,k*pkm,0.04954966041584,0.05268175441591,0.0476676702326,0.0637027182715,0.07977122143109,0.08600517377527,0.09188420904178,0.09823774768725,0.10462927273248,0.11102956308809,0.11741258494448,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,,Service provided,,,,,k*pkm,,,,,,,,,,,,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,,Discount rate_financial,,,,,%,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,,Heterogeneity,,,,,,6,6,6,6,6,6,6,6,6,6,6,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,Walk Cycle Urban,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,Walk Cycle Urban,Available,,,,,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,Walk Cycle Urban,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,Walk Cycle Urban,Lifetime,,,,,Years,5,5,5,5,5,5,5,5,5,5,5,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,Walk Cycle Urban,Market share,,,,,%,0.00890868596882,,,,,,,,,,,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Available,,,,,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Lifetime,,,,,Years,5,5,5,5,5,5,5,5,5,5,5,"TODO: Change to lifetime of personal vehicle; assume once you buy a car, you'll stick with it"
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Market share,,,,,%,0.38066683719634,,,,,,,,,,,
CIMS.CAN.ON.Transportation Personal.Mode.Urban,Service,ON,Transportation Personal,Urban,Passenger Vehicle Urban 1 Passenger,Output,,,,,k*pkm,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,
