,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK,Region,SK,Transportation Personal,,,Service requested,,,CIMS.CAN.SK.Transportation Personal,,k*pkm,18107472.97,19531428.71,27015480.04,27803385.64,26017367.39,26931516.89,28118691.69,29322075.07,30678609.42,32197701.14,33889788.36,
CIMS.CAN.SK.Transportation Personal,Sector,SK,,,,Service provided,,,,,pkm,,,,,,,,,,,,
CIMS.CAN.SK.Transportation Personal,Sector,SK,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.CAN.SK.Biodiesel,JCIMS,,1.178699351,1.461111278,1.881187857,2.110516331,2.217434905,2.889509113,2.775498225,2.67193291,2.565553464,2.563606293,2.562660548,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,CER,,1.06418922,1.06418922,1.002183208,0.972606122,1.036026138,1.037497189,1.045048202,1.044833117,1.044167997,1.043380276,1.043005608,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.CAN.SK.Electricity,Residential,,2,2,2,2,2,2,2,2,2,2,2,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.CAN.SK.Ethanol,JCIMS,,1.376060592,1.473451287,1.619049083,1.743793866,1.626215472,1.734996198,1.916936771,2.110709729,1.99969622,1.999812246,1.999944451,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,CER,,1.078710125,1.078710125,1.036931136,0.980043338,1.012948751,1.010053856,1.017501776,1.021214023,1.02244564,1.02304371,1.023794968,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.CAN.SK.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1.001923904,1.013886415,1.015438536,1.026001777,1.023901734,1.022839015,1.021878378,1.0214067,1.021102126,1.021102126,1.021102126,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,JCIMS,,0.912977929,0.998901948,2.234484846,3.031439479,9.488223546,9.236447616,9.809607998,9.039678118,7.811333108,6.65205399,5.901351972,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
