,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC,Region,QC,Waste,,,Service requested,,,CIMS.CAN.QC.Waste,,tonne,136226712.2,171338042.79493,153720523.999074,157025466.999074,159899715.199074,162188877.799074,163694531.699074,164356905.299074,164377588.299074,164377588.299074,164377588.299074,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.CAN.QC.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.CAN.QC.Electricity,CER,,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.CAN.QC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.99208999735546,0.98038734742852,0.94971664101975,0.97302769575549,1.02223368716669,1.08915229887174,1.16468890250074,1.16361507625045,1.14697779859904,1.12706599918832,1.11023238047718,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.CAN.QC.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.35830153401502,1.26290831278107,1.29751164160082,1.70041776593181,1.27559389668704,1.06342323407221,1.03554208529608,1.03841903187167,1.03954186286384,1.04342751289796,1.04813729547936,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste,Sector,QC,Waste,,,Service requested,,,CIMS.CAN.QC.Waste.Sites,,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Waste.Sites,Service,QC,Waste,Sites,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.QC.Waste.Sites,Service,QC,Waste,Sites,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Waste.Sites,Service,QC,Waste,Sites,,Service requested,,,CIMS.CAN.QC.Waste.Sites.Large Sites,,tonne,0.5737124527233,0.5737124527233,0.5737124527233,0.5737124527233,0.5737124527233,0.5737124527233,0.5737124527233,0.5737124527233,0.5737124527233,0.5737124527233,0.5737124527233,
