,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AT,Region,AT,Transportation Freight,,,service_request,,,CIMS.CAN.AT.Transportation Freight,annual_region,k*tkm,67197348.8750069,83794108.9518194,75205397.9315233,67051791.8515368,63342461.8570012,62677373.0728769,61545574.3404667,60455532.1460257,59406757.9176412,58398809.4516435,57431291.2587443,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,service_provide,,,,constant_tech,k*tkm,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,multiplier_price,,,CIMS.CAN.AT.Biodiesel,AFDC 2023,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,CER,,1.07390921209418,1.06409558226176,1.03806642480413,1.01774293276406,1.02230184756445,1.04718338218137,1.05129080582452,1.0513784483359,1.05156421477022,1.05143418566016,1.05101524085709,
