,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB,Region,MB,Transportation Freight,,,service_request,,,CIMS.CAN.MB.Transportation Freight,annual_region,k*tkm,23411402.1480698,27529381.2454133,44174923.155914,54498200.7056038,60430450.5896886,70125877.3728915,75769010.6606892,81904152.2688054,88575512.49353,95831332.4648646,103724252.864571,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,service_provide,,,,constant_tech,k*tkm,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.CAN.MB.Biodiesel,AFDC 2023,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,CER,,1.01307508318401,1.01223419944481,1.00941447338777,1.00641034448622,1.04268776635708,1.05271344231614,1.05527015652176,1.05572176034258,1.05580764575204,1.05555734217446,1.05521043033649,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.CAN.MB.Electricity,CER,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.CAN.MB.Ethanol,AFDC 2023,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,0.35170152120797,0.41025059460265,0.55450340451582,0.57894784569809,0.63100159198567,0.67600972182075,0.70760264488537,0.74927664373987,0.78102035075958,0.78581361645016,0.79528816863973,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,CER,,1.01819800153898,1.03203513379802,1.01256263014554,0.96468200784113,0.97874504597462,0.99492439465486,0.99512409623764,0.99913706094438,1.00112374588384,1.00271234500321,1.00385246963677,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.CAN.MB.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1.01612830152709,1.02764993426514,1.06137986351441,1.05509530013184,1.05478263897148,1.05834936980303,1.06071531615146,1.06351779589853,1.06284625258164,1.06284625258164,1.06284625258164,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Natural Gas,AFDC 2023,,0.93491761471353,1.45639565493712,3.73391059028097,7.37940144854917,7.12151311888982,9.59389316231547,9.59389316231547,9.59389316231547,9.59389316231547,9.59389316231547,9.59389316231547,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,service_request,,,CIMS.CAN.MB.Transportation Freight.Freight,annual_tech,k*tkm,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Freight,Sector,MB,Transportation Freight,,,service_request,,,CIMS.CAN.MB.Transportation Freight.Off Road,annual_region,k*tkm,0.02582103023846,0.02435491604025,0.01411278069924,0.01885639254427,0.01466994391898,0.01269207643894,0.01221960824393,0.01175928435257,0.01131126170025,0.0108756471776,0.01045250138842,
CIMS.CAN.MB.Transportation Freight.Freight,Service,MB,Transportation Freight,Freight,,service_provide,,,,constant_tech,k*tkm,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Freight.Freight,Service,MB,Transportation Freight,Freight,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Freight.Freight,Service,MB,Transportation Freight,Freight,,service_request,,,CIMS.CAN.MB.Transportation Freight.Freight.Land,annual_region,k*tkm,0.99143851231797,0.99334695658772,0.98795053709675,0.99846640919311,0.99814895047899,0.99813679260696,0.99827965520225,0.99840663939419,0.99851980595512,0.99862094329959,0.99871160229333,
CIMS.CAN.MB.Transportation Freight.Freight,Service,MB,Transportation Freight,Freight,,service_request,,,CIMS.CAN.MB.Transportation Freight.Freight.Marine,annual_region,k*tkm,0.00574381029818,0.00473268716986,0.01048063117389,0.00083889535628,0.00049321479867,0.00078363646841,0.00067284762213,0.00057745455407,0.0004953651484,0.00042476330109,0.0003640739374,
