,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC,Region,QC,Transportation Freight,,,service_request,,,CIMS.CAN.QC.Transportation Freight,annual_region,k*tkm,114770838.253434,123557704.29838,124625600.94186,130298314.039482,114898101.911495,122416770.114262,123710987.802355,125108671.618695,126612677.966293,128226098.983532,129952274.108786,
CIMS.CAN.QC.Transportation Freight,Sector,QC,Transportation Freight,,,service_provide,,,,constant_tech,k*tkm,,,,,,,,,,,,
CIMS.CAN.QC.Transportation Freight,Sector,QC,Transportation Freight,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Transportation Freight,Sector,QC,Transportation Freight,,,multiplier_price,,,CIMS.CAN.QC.Biodiesel,AFDC 2023,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Transportation Freight,Sector,QC,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Transportation Freight,Sector,QC,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Transportation Freight,Sector,QC,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Transportation Freight,Sector,QC,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Transportation Freight,Sector,QC,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,CER,,1.07181638907474,1.06595148663098,1.05547525311796,1.06171925593116,1.01424578368553,1.00963594162787,1.02232793742059,1.01921845038059,1.02096263539492,1.02206965124468,1.02245953056672,
CIMS.CAN.QC.Transportation Freight,Sector,QC,Transportation Freight,,,multiplier_price,,,CIMS.CAN.QC.Electricity,CER,,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,
CIMS.CAN.QC.Transportation Freight,Sector,QC,Transportation Freight,,,multiplier_price,,,CIMS.CAN.QC.Ethanol,AFDC 2023,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Transportation Freight,Sector,QC,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,0.41035036594375,0.47796147565762,0.59161051796865,0.64562665174257,0.78898548518871,0.86363252242307,0.93139906321824,1.02842768894569,1.06514943797705,1.07168645618847,1.08460777626673,
CIMS.CAN.QC.Transportation Freight,Sector,QC,Transportation Freight,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,CER,,1.03965066315352,1.03469743379172,1.03223843367996,1.04021731372242,1.00787887780645,1.01083385129303,1.02255877218196,1.02166767494222,1.02323135075563,1.02452995113716,1.02526021791706,
