,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AB,Region,AB,Transportation Personal,,,service_request,,,CIMS.CAN.AB.Transportation Personal,annual_region,k*pkm,60561928.0648069,64110908.0386443,69185808.4037016,71408366.9240916,55872921.9134284,72581688.3886066,74574068.2395283,76672094.5111111,78880864.7157895,81205728.910638,83652302.1742777,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,service_provide,,,,constant_tech,k*pkm,,,,,,,,,,,,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.CAN.AB.Biodiesel,AFDC 2023,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,CER,,0.91780477292288,0.92629552696557,0.92712674950794,0.93682619329419,0.95341360876012,0.94605036477482,0.95081347826665,0.95445413098459,0.95455672065457,0.9540412492669,0.95404033362773,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.CAN.AB.Electricity,CER,,2,2,2,2,2,2,2,2,2,2,2,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.CAN.AB.Ethanol,AFDC 2023,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,CER,,0.92208466955348,0.93644106050124,0.91825365138428,0.89565989194186,0.92814240120097,0.94077579197811,0.94306907120644,0.94695352354132,0.94890454159674,0.95033232364924,0.95148877564184,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.CAN.AB.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,0.91531711274682,0.98252734863588,1.0638828666402,1.08614554798963,1.09405969984315,1.10060375558273,1.10539762305172,1.11056434563501,1.10897295661236,1.10897295661236,1.10897295661236,
CIMS.CAN.AB.Transportation Personal,Sector,AB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
