,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AT,Region,AT,Transportation Personal,,,service_request,,,CIMS.CAN.AT.Transportation Personal,annual_region,k*pkm,58700990.5364039,60868220.7932714,66876960.4150904,68803957.1759663,52005713.5661006,70816988.1101455,72901990.4744221,75110465.0966944,77448763.5947109,79923582.0077734,82541979.4245654,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,service_provide,,,,constant_tech,k*pkm,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.CAN.AT.Biodiesel,AFDC 2023,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,CER,,1.07390921209418,1.06409558226176,1.03806642480413,1.01774293276406,1.02230184756445,1.04718338218137,1.05129080582452,1.0513784483359,1.05156421477022,1.05143418566016,1.05101524085709,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.CAN.AT.Electricity,CER,,2,2,2,2,2,2,2,2,2,2,2,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.CAN.AT.Ethanol,AFDC 2023,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,CER,,1.05186227820836,1.04270276039001,1.01401236811822,0.98341213773838,0.99616696509106,1.01921647669701,1.01980461162773,1.02179313147849,1.02331157140028,1.02461265357079,1.0254146269891,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.CAN.AT.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1.0623863246622,1.07673007249484,1.03696859551974,1.0708861122499,1.06315902970365,1.0571244722405,1.05234746804082,1.05057680512495,1.04725842488397,1.04725842488397,1.04725842488397,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Natural Gas,AFDC 2023,,0.93478918687278,1.45619559265752,3.73422452192746,7.38948921877485,7.11864544402204,9.57864849058727,9.57864849058727,9.57864849058727,9.57864849058727,9.57864849058727,9.57864849058727,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Propane,JCIMS,,2.05242267416927,1.1544703327552,0.88298987997314,0.74112379549903,0.75675636951496,0.75826426732654,0.75598674565426,0.75285561943441,0.75594780873522,0.75594780873522,0.75594780873522,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal,Sector,AT,Transportation Personal,,,service_request,,,CIMS.CAN.AT.Transportation Personal.Mode,annual_tech,k*pkm,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Personal.Mode,Service,AT,Transportation Personal,Mode,,service_provide,,,,constant_tech,k*pkm,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode,Service,AT,Transportation Personal,Mode,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode,Service,AT,Transportation Personal,Mode,,service_request,,,CIMS.CAN.AT.Transportation Personal.Mode.Urban,annual_region,k*pkm,0.46529208109407,0.48319628951208,0.5371980160231,0.5518602728382,0.41671362840923,0.56744739873254,0.57983350569746,0.59220203858474,0.60452778066853,0.61678653176221,0.6289552258768,
CIMS.CAN.AT.Transportation Personal.Mode,Service,AT,Transportation Personal,Mode,,service_request,,,CIMS.CAN.AT.Transportation Personal.Mode.Intercity Land,annual_region,k*pkm,0.32898945014483,0.31840990612615,0.28223340231655,0.27262834113752,0.35108346425906,0.26203027025379,0.25452111467267,0.24702305644879,0.23955135852727,0.23212066703258,0.22474494012243,
CIMS.CAN.AT.Transportation Personal.Mode,Service,AT,Transportation Personal,Mode,,service_request,,,CIMS.CAN.AT.Transportation Personal.Mode.Intercity Air,annual_region,k*pkm,0.2057184687611,0.19839380436176,0.18056858166036,0.17551138602428,0.23220290733171,0.17052233101366,0.16564537962987,0.16077490496648,0.15592086080421,0.15109280120521,0.14629983400077,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,,service_provide,,,,constant_tech,k*pkm,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,,competition,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,,discount_rate_financial,,,,constant_tech,%,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,,heterogeneity,,,,constant_tech,,6,6,6,6,6,6,6,6,6,6,6,
CIMS.CAN.AT.Transportation Personal.Mode.Urban,Service,AT,Transportation Personal,Urban,Walk Cycle Urban,technology,,,,,,,,,,,,,,,,,
