,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Transportation Personal,,,Service requested,,,CIMS.CAN.ON.Transportation Personal,annual_region,k*pkm,213944397.709116,244407888.366585,260996123.944246,259910117.078347,208825305.475729,259026542.294843,264745237.385832,270757169.362977,277075983.479584,283715969.867869,290692094.032946,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Service provided,,,,constant_tech,k*pkm,,,,,,,,,,,,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.CAN.ON.Biodiesel,JCIMS,,1.20140728535252,1.46258705159767,1.87565937986037,2.065822967787,2.17233816786086,2.82226305294495,2.7005718553512,2.6016775089512,2.5050661881433,2.50363401775289,2.50387541467882,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,CER,,0.9539815539426,0.95869329016028,0.97607173536866,0.96666148065277,0.97076054427295,0.98887146965678,0.98800550859831,0.98809635736903,0.98730188396714,0.98682980940052,0.98703751821977,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.CAN.ON.Electricity,CER,,2,2,2,2,2,2,2,2,2,2,2,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.CAN.ON.Ethanol,JCIMS,,1.42005962770181,1.47749599661148,1.46106421314183,1.59167602238077,1.49702879651437,1.68708832548389,1.88492373937055,2.09503049435873,1.98420384394662,1.98428417336029,1.98439601363267,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,CER,,0.96886582600025,0.96437146118229,0.97620190928467,0.98698373540283,0.98196477892809,0.97920028927551,0.97972376301007,0.98255319425744,0.98469354152721,0.98672884294427,0.98804478246684,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,JCIMS,,1.23280432114204,1.03746779353948,2.3441271629993,2.12637482558583,6.41052643689145,6.24145201060108,6.61959346183559,6.09240146545039,5.2690874938844,4.48710277747753,3.98072127280922,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1.80003099498478,0.99901402519828,0.79338826629708,0.644826863976,0.6632137232518,0.66832870556357,0.66934599934946,0.66769717604099,0.67256397443226,0.67256397443226,0.67256397443226,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Transportation Personal,Sector,ON,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
