,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC,Region,QC,Transportation Personal,,,Service requested,,,CIMS.CAN.QC.Transportation Personal,annual_region,k*pkm,108773160.082937,119408471.270118,128741052.630323,132906790.652169,113532763.277811,133390964.246234,137171843.881613,141205462.965915,145509271.484116,150102038.829935,155003961.214861,
CIMS.CAN.QC.Transportation Personal,Sector,QC,Transportation Personal,,,Service provided,,,,constant_tech,k*pkm,,,,,,,,,,,,
CIMS.CAN.QC.Transportation Personal,Sector,QC,Transportation Personal,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Transportation Personal,Sector,QC,Transportation Personal,,,Price multiplier,,,CIMS.CAN.QC.Biodiesel,JCIMS,,1.19350482194685,1.46465321016096,1.90670487845667,2.0654226085295,2.13678786487817,2.76619818402384,2.63835267952491,2.51879234111801,2.4271402396353,2.43787395513197,2.44942911720263,
CIMS.CAN.QC.Transportation Personal,Sector,QC,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Transportation Personal,Sector,QC,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Transportation Personal,Sector,QC,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Transportation Personal,Sector,QC,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Transportation Personal,Sector,QC,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,CER,,1.07181638907474,1.06595148663098,1.05547525311796,1.06171925593116,1.01424578368553,1.00963594162787,1.02232793742059,1.01921845038059,1.02096263539492,1.02206965124468,1.02245953056672,
CIMS.CAN.QC.Transportation Personal,Sector,QC,Transportation Personal,,,Price multiplier,,,CIMS.CAN.QC.Electricity,CER,,2,2,2,2,2,2,2,2,2,2,2,
