,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK,Region,SK,Transportation Personal,,,Service requested,,,CIMS.CAN.SK.Transportation Personal,annual_region,k*pkm,17624608.2525917,19036637.9885299,26102516.0826425,26339021.0168571,20698186.6122715,23313593.2869575,24194172.7747775,25138579.0521295,26151262.9728676,27236989.625929,28400860.6961629,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Service provided,,,,constant_tech,k*pkm,,,,,,,,,,,,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.CAN.SK.Biodiesel,JCIMS,,1.17869935085346,1.46111127756675,1.88118785690178,2.11051633064967,2.21743490454655,2.88950911349726,2.7754982245565,2.67193290956931,2.5655534644401,2.56360629255541,2.56266054839566,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,CER,,1.06418921964426,1.05224941073396,1.01908766359983,0.99589681997124,1.02687898128543,1.04062407590134,1.04458466944204,1.04474182110827,1.04399978945062,1.04334917824813,1.04297273146616,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.CAN.SK.Electricity,CER,,2,2,2,2,2,2,2,2,2,2,2,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.CAN.SK.Ethanol,JCIMS,,1.37606059224045,1.47345128672827,1.6190490827988,1.74379386589115,1.62621547247322,1.7349961980359,1.91693677079633,2.11070972927902,1.99969621957717,1.99981224643238,1.99994445104911,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,CER,,1.07871012499816,1.08167690516762,1.04129663869656,0.97892167878349,0.99491329469245,1.01373342587538,1.01744575598496,1.02101571350895,1.02225712303979,1.02322772562305,1.02390603360875,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.CAN.SK.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
