,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB.Electricity.Utility Generation.Base Load,Service,MB,Electricity,Base Load,Coal,market_share_new_max,,,,,%,1,1,1,1,1,1,0.5,0.25,0,0,0,
CIMS.CAN.MB.Electricity.Utility Generation.Base Load,Service,MB,Electricity,Base Load,Coal CCS,market_share_new_max,,,,,%,1,1,1,1,1,1,0.5,0.25,0,0,0,
CIMS.CAN.MB.Electricity.Utility Generation.Base Load,Service,MB,Electricity,Base Load,Fuel Oil,market_share_new_max,,,,,%,1,1,1,1,1,1,0.5,0.25,0,0,0,
CIMS.CAN.MB.Electricity.Utility Generation.Base Load,Service,MB,Electricity,Base Load,Natural Gas SC,market_share_new_max,,,,,%,1,1,1,1,1,1,0.5,0.25,0,0,0,
CIMS.CAN.MB.Electricity.Utility Generation.Base Load,Service,MB,Electricity,Base Load,Natural Gas CC,market_share_new_max,,,,,%,1,1,1,1,1,1,0.5,0.25,0,0,0,
CIMS.CAN.MB.Electricity.Utility Generation.Shoulder Load,Service,MB,Electricity,Shoulder Load,Coal,market_share_new_max,,,,,%,1,1,1,1,1,1,0.5,0.25,0,0,0,
CIMS.CAN.MB.Electricity.Utility Generation.Shoulder Load,Service,MB,Electricity,Shoulder Load,Fuel Oil,market_share_new_max,,,,,%,1,1,1,1,1,1,0.5,0.25,0,0,0,
CIMS.CAN.MB.Electricity.Utility Generation.Shoulder Load,Service,MB,Electricity,Shoulder Load,Natural Gas SC,market_share_new_max,,,,,%,1,1,1,1,1,1,0.5,0.25,0,0,0,
CIMS.CAN.MB.Electricity.Utility Generation.Shoulder Load,Service,MB,Electricity,Shoulder Load,Natural Gas CC,market_share_new_max,,,,,%,1,1,1,1,1,1,0.5,0.25,0,0,0,
