,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC.Coal Mining,Sector,BC,Coal Mining,,,tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Petroleum Crude,Sector,BC,Petroleum Crude,,,tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Petroleum Refining,Sector,BC,Petroleum Refining,,,tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Industrial Minerals,Sector,BC,Industrial Minerals,,,tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Chemical Products,Sector,BC,Chemical Products,,,tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Pulp and Paper,Sector,BC,Pulp and Paper,,,tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,BC,Food Tobacco and Beverage,,,tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Light Industrial.Manufacturing.Transportation Equipment,Sector,BC,Transportation Equipment,,,tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Electricity,Sector,BC,Electricity,,,tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Coal Mining,Sector,BC,Coal Mining,,,tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Petroleum Crude,Sector,BC,Petroleum Crude,,,tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Petroleum Refining,Sector,BC,Petroleum Refining,,,tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Industrial Minerals,Sector,BC,Industrial Minerals,,,tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Chemical Products,Sector,BC,Chemical Products,,,tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Pulp and Paper,Sector,BC,Pulp and Paper,,,tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,BC,Food Tobacco and Beverage,,,tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Light Industrial.Manufacturing.Transportation Equipment,Sector,BC,Transportation Equipment,,,tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Electricity,Sector,BC,Electricity,,,tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Coal Mining,Sector,BC,Coal Mining,,,tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Petroleum Crude,Sector,BC,Petroleum Crude,,,tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Petroleum Refining,Sector,BC,Petroleum Refining,,,tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Industrial Minerals,Sector,BC,Industrial Minerals,,,tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Chemical Products,Sector,BC,Chemical Products,,,tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Pulp and Paper,Sector,BC,Pulp and Paper,,,tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,BC,Food Tobacco and Beverage,,,tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Light Industrial.Manufacturing.Transportation Equipment,Sector,BC,Transportation Equipment,,,tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Electricity,Sector,BC,Electricity,,,tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Coal Mining,Sector,BC,Coal Mining,,,tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Natural Gas,Sector,BC,Natural Gas,,,tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Petroleum Crude,Sector,BC,Petroleum Crude,,,tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Mining,Sector,BC,Mining,,,tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Petroleum Refining,Sector,BC,Petroleum Refining,,,tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Industrial Minerals,Sector,BC,Industrial Minerals,,,tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Chemical Products,Sector,BC,Chemical Products,,,tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Pulp and Paper,Sector,BC,Pulp and Paper,,,tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,BC,Food Tobacco and Beverage,,,tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Light Industrial.Manufacturing.Transportation Equipment,Sector,BC,Transportation Equipment,,,tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.BC.Electricity,Sector,BC,Electricity,,,tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
