,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,,Market share_class_min,Clean,,,,%,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Hydro River,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Solar PV,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Wind Onshore,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Wind Offshore,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Nuclear,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Nuclear SMR,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Hydro Reservoir,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Solar PV + Battery,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Wind + Battery,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Wind + Seasonal,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Biomass,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Biomass CCS,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Base Load,Service,BC,Electricity,Base Load,Geoexchange,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Shoulder Load,Service,BC,Electricity,Shoulder Load,,Market share_class_min,Clean,,,,%,0,0.9,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,
CIMS.CAN.BC.Electricity.Utility Generation.Shoulder Load,Service,BC,Electricity,Shoulder Load,Hydro Reservoir,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Shoulder Load,Service,BC,Electricity,Shoulder Load,Solar PV + Battery,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Shoulder Load,Service,BC,Electricity,Shoulder Load,Wind + Battery,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Shoulder Load,Service,BC,Electricity,Shoulder Load,Wind + Seasonal,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Shoulder Load,Service,BC,Electricity,Shoulder Load,Biomass,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Shoulder Load,Service,BC,Electricity,Shoulder Load,Biomass CCS,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Peak Load,Service,BC,Electricity,Peak Load,,Market share_class_min,Clean,,,,%,0,0.9,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,
CIMS.CAN.BC.Electricity.Utility Generation.Peak Load,Service,BC,Electricity,Peak Load,Hydro Reservoir,Market share_class,Clean,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity.Utility Generation.Peak Load,Service,BC,Electricity,Peak Load,Wind + Seasonal,Market share_class,Clean,,,,,,,,,,,,,,,,
