,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Natural Gas Production,Sector,AB,Natural Gas Production,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Petroleum Crude,Sector,AB,Petroleum Crude,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Industrial Minerals,Sector,AB,Industrial Minerals,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Chemical Products,Sector,AB,Chemical Products,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,AB,Food Tobacco and Beverage,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Light Industrial.Manufacturing.Transportation Equipment,Sector,AB,Transportation Equipment,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Electricity,Sector,AB,Electricity,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Natural Gas Production,Sector,AB,Natural Gas Production,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Petroleum Crude,Sector,AB,Petroleum Crude,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Industrial Minerals,Sector,AB,Industrial Minerals,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Chemical Products,Sector,AB,Chemical Products,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,AB,Food Tobacco and Beverage,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Light Industrial.Manufacturing.Transportation Equipment,Sector,AB,Transportation Equipment,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Electricity,Sector,AB,Electricity,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Natural Gas Production,Sector,AB,Natural Gas Production,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Petroleum Crude,Sector,AB,Petroleum Crude,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Industrial Minerals,Sector,AB,Industrial Minerals,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Chemical Products,Sector,AB,Chemical Products,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,AB,Food Tobacco and Beverage,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Light Industrial.Manufacturing.Transportation Equipment,Sector,AB,Transportation Equipment,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Electricity,Sector,AB,Electricity,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Natural Gas Production,Sector,AB,Natural Gas Production,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Petroleum Crude,Sector,AB,Petroleum Crude,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Industrial Minerals,Sector,AB,Industrial Minerals,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Chemical Products,Sector,AB,Chemical Products,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
