,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK.Coal Mining,Sector,SK,Coal Mining,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Natural Gas Production,Sector,SK,Natural Gas Production,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Petroleum Crude,Sector,SK,Petroleum Crude,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Petroleum Refining,Sector,SK,Petroleum Refining,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Iron and Steel,Sector,SK,Iron and Steel,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,SK,Food Tobacco and Beverage,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Light Industrial.Manufacturing.Transportation Equipment,Sector,SK,Transportation Equipment,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Electricity,Sector,SK,Electricity,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Coal Mining,Sector,SK,Coal Mining,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Natural Gas Production,Sector,SK,Natural Gas Production,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Petroleum Crude,Sector,SK,Petroleum Crude,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Mining,Sector,SK,Mining,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Petroleum Refining,Sector,SK,Petroleum Refining,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Iron and Steel,Sector,SK,Iron and Steel,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.SK.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,SK,Food Tobacco and Beverage,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
