,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN,Region,CAN,,,,Service requested,,,CIMS.CAN.AB,n/a,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB,Region,AB,,,,Service provided,,,,,unit,,,,,,,,,,,,
CIMS.CAN.AB,Region,AB,,,,Competition type,Region,,,,,,,,,,,,,,,,
CIMS.CAN.AB,Region,AB,,,,Attribute,Population,,,StatCan,persons,3004198,3321768,3732082,4144491,4420029,4965000,5460100,5976700,6515600,6751778.294,6981842.727,
CIMS.CAN.AB,Region,AB,,,,Attribute,GDP,,,StatCan,$ million,241251.7516,286047.2322,311884.8383,371864.0497,352708.6972,398094.7078,440960.5681,484955.4214,535701.7569,591527.4623,650318.6716,
CIMS.CAN.AB,Region,AB,Coal Mining,,,Service requested,,,CIMS.CAN.AB.Coal Mining,,tonne,30896834,28526703.92,31131419.67,35546655.27,37524193.83,38415693.44,39462205.59,37235238.62,35450751.48,34038179.43,32588655.91,
CIMS.CAN.AB,Region,AB,Natural Gas Extraction,,,Service requested,,,CIMS.CAN.AB.Natural Gas Extraction,,1000 m3,149406900.2,150668431.4,125144353.7,118920049.8,110556684.1,97001887.34,86478360.51,82899468.55,84307680.19,86591367.81,87801417.09,
CIMS.CAN.AB,Region,AB,Petroleum Crude,,,Service requested,,,CIMS.CAN.AB.Petroleum Crude,Statistics Canada: 25-10-0014-01 (Total net withdrawls),m3,89136100,94900000,120000000,180000000,223000000,254000000,279000000,296000000,306000000,257000000,265000000,
CIMS.CAN.AB,Region,AB,Petroleum Refining,,,Service requested,,,CIMS.CAN.AB.Petroleum Refining,"Statistics Canada: 25-10-0014-01 (To refineries, Province)",m3 of RPP,24124100,27196801.63,27594597.23,29271418.28,29803905.68,29792475.86,30063906.53,30241184.23,30391521.67,30341819.72,30383307.38,
CIMS.CAN.AB,Region,AB,Industrial Minerals,,,Service requested,,,CIMS.CAN.AB.Industrial Minerals,,tonne,2481626.609,2777737.67,3054975.294,3478527.972,3673960.608,3799348.804,3909344.517,4071002.638,4232660.759,4394318.88,4555977.002,
CIMS.CAN.AB,Region,AB,Chemical Products,,,Service requested,,,CIMS.CAN.AB.Chemical Products,,tonne,11082948.65,11404357.23,10039511.78,10589706.24,11502440.72,12115628.04,12826425.93,13029578.6,13232731.27,13435883.94,13639036.61,
CIMS.CAN.AB,Region,AB,Pulp and Paper,,,Service requested,,,CIMS.CAN.AB.Pulp and Paper,,tonne,347501.7467,320919.0059,313833.0315,379378.2953,394804.2228,386464.2697,394863.9361,405427.4975,415991.0589,426554.6204,437118.1818,
CIMS.CAN.AB,Region,AB,Light Industrial,,,Service requested,,,CIMS.CAN.AB.Light Industrial,,$ million GDP,11246.41078,12669.66264,12499.99392,14366.59158,15790.73241,16834.06887,17905.53293,18653.51434,19401.49576,20149.47718,20897.4586,
CIMS.CAN.AB,Region,AB,Residential,,,Service requested,,,CIMS.CAN.AB.Residential,Census,household,1093190,1231350,1417930,1599505.229,1712938.471,1760959.369,1800757.544,1894195.086,1967378.143,2040570.831,2113772.072,
CIMS.CAN.AB,Region,AB,Commercial,,,Service requested,,,CIMS.CAN.AB.Commercial,,m2,86806200,94468800,105037321,116930540.4,131200624.7,145980262.5,160910804.8,170984067.6,181057330.4,191130593.2,201203856,
CIMS.CAN.AB,Region,AB,Transportation Personal,,,Service requested,,,CIMS.CAN.AB.Transportation Personal,,pkm,63312146000,68132122925,72005755847,76061418308,80330803122,83703716182,86403037207,89746232971,93089428736,96432624501,99775820265,
CIMS.CAN.AB,Region,AB,Transportation Freight,,,Service requested,,,CIMS.CAN.AB.Transportation Freight,,k*tkm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
CIMS.CAN.AB,Region,AB,Waste,,,Service requested,,,CIMS.CAN.AB.Waste,,tonne,42555343.12,40219987.45,43447354.76,46584489.66,49660955.44,52568697.6,55195115.7,57500698.35,59548621.31,59548621.31,59548621.31,
CIMS.CAN.AB,Region,AB,Agriculture,,,Service requested,,,CIMS.CAN.AB.Agriculture,,tCO2e,16172454.4,22767605.51,20140738.35,23927119.27,27553070.05,31724473.1,36508394.13,40775796.11,45312857.67,45312857.67,45312857.67,
CIMS.CAN.AB.Coal Mining,Sector,AB,,,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.AB.Coal Mining,Sector,AB,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.CAN.AB.Biodiesel,JCIMS,,1.18689542,1.46896072,1.880258019,2.099213385,2.20311154,2.90539124,2.782930104,2.669527075,2.559111317,2.560034528,2.561259349,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1.02504944,1.119113534,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,1.438843537,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.414804385,0.51356418,0.762372853,0.78591359,0.920716785,1.021458842,1.109090528,1.182060245,1.232133414,1.241076646,1.256413933,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.CAN.AB.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,TO DO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.CAN.AB.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.000378895,1.000378895,0.970941813,0.949738223,0.914337184,0.822786516,0.746186704,0.762030804,0.780223985,0.800512001,0.820574099,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.CAN.AB.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,0.792766333,0.792766333,0.978941709,1.256534824,0.933564509,2.531234077,3.085246266,2.7616806,2.549543216,2.449150762,2.31404734,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Service requested,,,CIMS.CAN.AB.Coal Mining.Coal,,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining.Coal,Service,AB,Coal Mining,Coal,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.AB.Coal Mining.Coal,Service,AB,Coal Mining,Coal,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.AB.Coal Mining.Coal,Service,AB,Coal Mining,Coal,,Service requested,,,CIMS.CAN.AB.Coal Mining.Coal.Raw Product,,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining.Coal,Service,AB,Coal Mining,Coal,,Service requested,,,CIMS.CAN.AB.Coal Mining.Coal.Size Reduced Product,,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining.Coal,Service,AB,Coal Mining,Coal,,Service requested,,,CIMS.CAN.AB.Coal Mining.Coal.Final Product,,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AB.Coal Mining.Coal,Service,AB,Coal Mining,Coal,,Service requested,,,CIMS.CAN.AB.Coal Mining.HVAC,,GJ,0.05775542,0.05775542,0.05775542,0.05775542,0.05775542,0.05775542,0.05775542,0.05775542,0.05775542,0.05775542,0.05775542,
