,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN,Region,CAN,,,,Service requested,,,CIMS.CAN.SK,n/a,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK,Region,SK,,,,Service provided,,,,,unit,,,,,,,,,,,,
CIMS.CAN.SK,Region,SK,,,,Competition type,Region,,,,,,,,,,,,,,,,
CIMS.CAN.SK,Region,SK,,,,Attribute,Population,,,StatCan,persons,"=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_population,MATCH($C6,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(M$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_population,MATCH($C6,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(N$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_population,MATCH($C6,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(O$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_population,MATCH($C6,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(P$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_population,MATCH($C6,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(Q$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_population,MATCH($C6,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(R$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_population,MATCH($C6,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(S$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_population,MATCH($C6,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(T$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_population,MATCH($C6,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(U$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_population,MATCH($C6,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(V$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_population,MATCH($C6,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(W$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))",
CIMS.CAN.SK,Region,SK,,,,Attribute,GDP,,,StatCan,$ million,"=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_GDP,MATCH($C7,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(M$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_GDP,MATCH($C7,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(N$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_GDP,MATCH($C7,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(O$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_GDP,MATCH($C7,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(P$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_GDP,MATCH($C7,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(Q$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_GDP,MATCH($C7,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(R$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_GDP,MATCH($C7,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(S$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_GDP,MATCH($C7,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(T$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_GDP,MATCH($C7,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(U$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_GDP,MATCH($C7,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(V$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))","=INDEX('N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_GDP,MATCH($C7,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!region_CIMS,0),MATCH(W$2,'N:\CIMS\Sources\Macro\Macro inputs.xlsx'!pyCIMS_year,0))",
CIMS.CAN.SK,Region,SK,Coal Mining,,,Service requested,,,CIMS.CAN.SK.Coal Mining,,tonne,11190106,11047305.909,13091420.2726364,12420669.0908182,13671392.4544545,13115551.6362727,13037703.0908182,13720419.1817273,14295980.3635455,14333574.3635455,14372583.7271818,
CIMS.CAN.SK,Region,SK,Natural Gas Extraction,,,Service requested,,,CIMS.CAN.SK.Natural Gas Extraction,,1000 m3,='M:\EmmaS\EMH\Sector calibration\Natural Gas\[Natural gas production_2000-2021 data comp_05.09.24.xlsx]NG Production_2000-2050'!D58,='M:\EmmaS\EMH\Sector calibration\Natural Gas\[Natural gas production_2000-2021 data comp_05.09.24.xlsx]NG Production_2000-2050'!E58,='M:\EmmaS\EMH\Sector calibration\Natural Gas\[Natural gas production_2000-2021 data comp_05.09.24.xlsx]NG Production_2000-2050'!F58,='M:\EmmaS\EMH\Sector calibration\Natural Gas\[Natural gas production_2000-2021 data comp_05.09.24.xlsx]NG Production_2000-2050'!G58,='M:\EmmaS\EMH\Sector calibration\Natural Gas\[Natural gas production_2000-2021 data comp_05.09.24.xlsx]NG Production_2000-2050'!H58,='M:\EmmaS\EMH\Sector calibration\Natural Gas\[Natural gas production_2000-2021 data comp_05.09.24.xlsx]NG Production_2000-2050'!I58,='M:\EmmaS\EMH\Sector calibration\Natural Gas\[Natural gas production_2000-2021 data comp_05.09.24.xlsx]NG Production_2000-2050'!J58,='M:\EmmaS\EMH\Sector calibration\Natural Gas\[Natural gas production_2000-2021 data comp_05.09.24.xlsx]NG Production_2000-2050'!K58,='M:\EmmaS\EMH\Sector calibration\Natural Gas\[Natural gas production_2000-2021 data comp_05.09.24.xlsx]NG Production_2000-2050'!L58,='M:\EmmaS\EMH\Sector calibration\Natural Gas\[Natural gas production_2000-2021 data comp_05.09.24.xlsx]NG Production_2000-2050'!M58,='M:\EmmaS\EMH\Sector calibration\Natural Gas\[Natural gas production_2000-2021 data comp_05.09.24.xlsx]NG Production_2000-2050'!N58,
CIMS.CAN.SK,Region,SK,Petroleum Crude,,,Service requested,,,CIMS.CAN.SK.Petroleum Crude,Statistics Canada: 25-10-0014-01 (Total net withdrawls),m3,24282136,28135054,28634679.75,19943711.21,27854565.66,26350963.41,25145889.2,22291300.28,20154503.08,18197810.91,16724820.65,
CIMS.CAN.SK,Region,SK,Mining,,,Service requested,,,CIMS.CAN.SK.Mining,,tonne,9783093.16512148,11516184.838749,7670954.47885963,11052536.4852214,12031849.8365682,12918133.4211375,13791913.0047959,14117017.028481,14442121.0521661,14767225.0758512,15092329.0995364,
