,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB.Natural Gas Extraction,Sector,MB,,Natural Gas Extraction,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.15132435,12.15132435,13.43866716,14.26277923,17.0944891,18.12634325,18.49926559,18.26726073,17.87746064,18.20704086,19.61980952,
CIMS.CAN.MB.Mining,Sector,MB,,Mining,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.15132435,12.15132435,13.43866716,14.26277923,17.0944891,18.12634325,18.49926559,18.26726073,17.87746064,18.20704086,19.61980952,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,Price multiplier,,,CIMS.CAN.MB.Electricity,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.15132435,12.15132435,13.43866716,14.26277923,17.0944891,18.12634325,18.49926559,18.26726073,17.87746064,18.20704086,19.61980952,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.15132435,12.15132435,13.43866716,14.26277923,17.0944891,18.12634325,18.49926559,18.26726073,17.87746064,18.20704086,19.61980952,
CIMS.CAN.MB.Hydrogen,Sector,MB,,Hydrogen,,Price multiplier,,,CIMS.CAN.MB.Electricity,Biodiesel,,12.15132435,12.15132435,13.43866716,14.26277923,17.0944891,18.12634325,18.49926559,18.26726073,17.87746064,18.20704086,19.61980952,Use biodiesel sector as proxy
CIMS.CAN.MB.Metal Smelting,Sector,MB,,Metal Smelting,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.15132435,12.15132435,13.43866716,14.26277923,17.0944891,18.12634325,18.49926559,18.26726073,17.87746064,18.20704086,19.61980952,
CIMS.CAN.MB.Light Industrial,Sector,MB,,Light Industrial,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.15132435,12.15132435,13.43866716,14.26277923,17.0944891,18.12634325,18.49926559,18.26726073,17.87746064,18.20704086,19.61980952,
CIMS.CAN.MB.Residential,Sector,MB,,Residential,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,22.88586277,22.88586277,25.54991798,27.39769321,32.82047936,33.94700201,34.36548305,34.10051953,33.63477999,33.9915664,35.50034577,
CIMS.CAN.MB.Commercial,Sector,MB,,Commercial,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,17.95633766,17.95633766,18.65497104,19.78209193,23.7565095,24.79911303,25.18111233,24.94134699,24.52908381,24.86070509,26.27280426,
CIMS.CAN.MB.Transportation Personal,Sector,MB,,Transportation Personal,,Price multiplier,,,CIMS.CAN.MB.Electricity,Residential,,22.88586277,22.88586277,25.54991798,27.39769321,32.82047936,33.94700201,34.36548305,34.10051953,33.63477999,33.9915664,35.50034577,
CIMS.CAN.MB.Transportation Freight,Sector,MB,,Transportation Freight,,Price multiplier,,,CIMS.CAN.MB.Electricity,Commercial,,17.95633766,17.95633766,18.65497104,19.78209193,23.7565095,24.79911303,25.18111233,24.94134699,24.52908381,24.86070509,26.27280426,
CIMS.CAN.MB.Waste,Sector,MB,,Waste,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.15132435,12.15132435,13.43866716,14.26277923,17.0944891,18.12634325,18.49926559,18.26726073,17.87746064,18.20704086,19.61980952,
CIMS.CAN.MB.Agriculture,Sector,MB,,Agriculture,,Price multiplier,,,CIMS.CAN.MB.Electricity,CER,,12.15132435,12.15132435,13.43866716,14.26277923,17.0944891,18.12634325,18.49926559,18.26726073,17.87746064,18.20704086,19.61980952,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,LCC_financial,,,,,$/GJ,1,1,1,1,1,1,1,1,1,1,1,Currently set to 1 so that price multipliers can replicate CER final user prices. Reset LCC and price multipliers after calibrating Elec sector.
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Electricity,Sector,MB,,Electricity,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,LCC_financial,,,,EA Energy Analyses (2015) & Brown et al. (2020),$/GJ,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,Emissions_biomass,CO2,Combustion,,,tCO2,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,0.074244372,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Biodiesel,Sector,MB,,Biodiesel,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,LCC_financial,,,,,$/GJ,33,33,33,33,33,33,33,33,33,33,33,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,Emissions_biomass,CO2,Combustion,,,tCO2,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,0.070926316,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.MB.Ethanol,Sector,MB,,Ethanol,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
