,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Fuel,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON.Natural Gas Extraction,Sector,,ON,Natural Gas Extraction,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.ON.Petroleum Crude,Sector,,ON,Petroleum Crude,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.ON.Mining,Sector,,ON,Mining,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.ON.Petroleum Refining,Sector,,ON,Petroleum Refining,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.ON.Industrial Minerals,Sector,,ON,Industrial Minerals,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.ON.Iron and Steel,Sector,,ON,Iron and Steel,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.ON.Chemical Products,Sector,,ON,Chemical Products,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.ON.Pulp and Paper,Sector,,ON,Pulp and Paper,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.ON.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,,ON,Food Tobacco and Beverage,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
