"REF_DATE","GEO","DGUID","Coal types and uses","Coal volume","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-01","Canada","2016A000011124","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973931","1.1.1","5838","","","","0"
"2008-01","Canada","2016A000011124","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973932","1.1.2","2673","","","","0"
"2008-01","Canada","2016A000011124","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973933","1.2.1","2523","","","","0"
"2008-01","Canada","2016A000011124","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973934","1.2.2","2673","","","","0"
"2008-01","Canada","2016A000011124","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973935","1.3.1","2188","","","","0"
"2008-01","Canada","2016A000011124","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973936","1.3.2","2359","","","","0"
"2008-01","Canada","2016A000011124","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973937","1.4.1","336","","","","0"
"2008-01","Canada","2016A000011124","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973938","1.4.2","315","","","","0"
"2008-01","Canada","2016A000011124","Sub-bituminous, thermal","Production","Tonnes","288","thousands","3","v43973939","1.5.1","2305","","","","0"
"2008-01","Canada","2016A000011124","Lignite, thermal","Production","Tonnes","288","thousands","3","v43973940","1.6.1","1010","","","","0"
"2008-01","Nova Scotia","2016A000212","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973941","2.1.1","","x","","","0"
"2008-01","Nova Scotia","2016A000212","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973942","2.2.1","","x","","","0"
"2008-01","Nova Scotia","2016A000212","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973943","2.3.1","","x","","","0"
"2008-01","Nova Scotia","2016A000212","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973944","2.4.1","","x","","","0"
"2008-01","New Brunswick","2016A000213","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973945","3.1.1","","x","","","0"
"2008-01","New Brunswick","2016A000213","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973946","3.2.1","","x","","","0"
"2008-01","New Brunswick","2016A000213","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973947","3.4.1","","x","","","0"
"2008-01","Saskatchewan","2016A000247","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973948","4.1.1","1010","","","","0"
"2008-01","Saskatchewan","2016A000247","Lignite, thermal","Production","Tonnes","288","thousands","3","v43973949","4.6.1","1010","","","","0"
"2008-01","Alberta","2016A000248","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973950","5.1.1","2844","","","","0"
"2008-01","Alberta","2016A000248","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973951","5.1.2","596","","","","0"
"2008-01","Alberta","2016A000248","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973952","5.2.1","539","","","","0"
"2008-01","Alberta","2016A000248","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973953","5.2.2","596","","","","0"
"2008-01","Alberta","2016A000248","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973954","5.3.1","289","","","","0"
"2008-01","Alberta","2016A000248","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973955","5.3.2","288","","","","0"
"2008-01","Alberta","2016A000248","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973956","5.4.1","249","","","","0"
"2008-01","Alberta","2016A000248","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973957","5.4.2","308","","","","0"
"2008-01","Alberta","2016A000248","Sub-bituminous, thermal","Production","Tonnes","288","thousands","3","v43973958","5.5.1","2305","","","","0"
"2008-01","British Columbia","2016A000259","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973959","6.1.1","1974","","","","0"
"2008-01","British Columbia","2016A000259","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973960","6.1.2","2077","","","","0"
"2008-01","British Columbia","2016A000259","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973961","6.2.1","1974","","","","0"
"2008-01","British Columbia","2016A000259","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973962","6.2.2","2077","","","","0"
"2008-01","British Columbia","2016A000259","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973963","6.3.1","1899","","","","0"
"2008-01","British Columbia","2016A000259","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973964","6.3.2","2071","","","","0"
"2008-01","British Columbia","2016A000259","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973965","6.4.1","75","","","","0"
"2008-01","British Columbia","2016A000259","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973966","6.4.2","6","","","","0"
"2008-02","Canada","2016A000011124","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973931","1.1.1","5677","","","","0"
"2008-02","Canada","2016A000011124","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973932","1.1.2","2554","","","","0"
"2008-02","Canada","2016A000011124","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973933","1.2.1","2661","","","","0"
"2008-02","Canada","2016A000011124","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973934","1.2.2","2554","","","","0"
"2008-02","Canada","2016A000011124","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973935","1.3.1","2334","","","","0"
"2008-02","Canada","2016A000011124","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973936","1.3.2","2361","","","","0"
"2008-02","Canada","2016A000011124","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973937","1.4.1","327","","","","0"
"2008-02","Canada","2016A000011124","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973938","1.4.2","194","","","","0"
"2008-02","Canada","2016A000011124","Sub-bituminous, thermal","Production","Tonnes","288","thousands","3","v43973939","1.5.1","2153","","","","0"
"2008-02","Canada","2016A000011124","Lignite, thermal","Production","Tonnes","288","thousands","3","v43973940","1.6.1","864","","","","0"
"2008-02","Nova Scotia","2016A000212","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973941","2.1.1","","x","","","0"
"2008-02","Nova Scotia","2016A000212","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973942","2.2.1","","x","","","0"
"2008-02","Nova Scotia","2016A000212","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973943","2.3.1","","x","","","0"
"2008-02","Nova Scotia","2016A000212","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973944","2.4.1","","x","","","0"
"2008-02","New Brunswick","2016A000213","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973945","3.1.1","","x","","","0"
"2008-02","New Brunswick","2016A000213","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973946","3.2.1","","x","","","0"
"2008-02","New Brunswick","2016A000213","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973947","3.4.1","","x","","","0"
"2008-02","Saskatchewan","2016A000247","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973948","4.1.1","864","","","","0"
"2008-02","Saskatchewan","2016A000247","Lignite, thermal","Production","Tonnes","288","thousands","3","v43973949","4.6.1","864","","","","0"
"2008-02","Alberta","2016A000248","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973950","5.1.1","2682","","","","0"
"2008-02","Alberta","2016A000248","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973951","5.1.2","551","","","","0"
"2008-02","Alberta","2016A000248","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973952","5.2.1","529","","","","0"
"2008-02","Alberta","2016A000248","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973953","5.2.2","551","","","","0"
"2008-02","Alberta","2016A000248","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973954","5.3.1","271","","","","0"
"2008-02","Alberta","2016A000248","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973955","5.3.2","358","","","","0"
"2008-02","Alberta","2016A000248","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973956","5.4.1","258","","","","0"
"2008-02","Alberta","2016A000248","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973957","5.4.2","192","","","","0"
"2008-02","Alberta","2016A000248","Sub-bituminous, thermal","Production","Tonnes","288","thousands","3","v43973958","5.5.1","2153","","","","0"
"2008-02","British Columbia","2016A000259","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973959","6.1.1","2126","","","","0"
"2008-02","British Columbia","2016A000259","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973960","6.1.2","2004","","","","0"
"2008-02","British Columbia","2016A000259","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973961","6.2.1","2126","","","","0"
"2008-02","British Columbia","2016A000259","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973962","6.2.2","2004","","","","0"
"2008-02","British Columbia","2016A000259","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973963","6.3.1","2063","","","","0"
"2008-02","British Columbia","2016A000259","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973964","6.3.2","2003","","","","0"
"2008-02","British Columbia","2016A000259","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973965","6.4.1","62","","","","0"
"2008-02","British Columbia","2016A000259","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973966","6.4.2","1","","","","0"
"2008-03","Canada","2016A000011124","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973931","1.1.1","6247","","r","","0"
"2008-03","Canada","2016A000011124","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973932","1.1.2","2923","","","","0"
"2008-03","Canada","2016A000011124","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973933","1.2.1","3185","","r","","0"
"2008-03","Canada","2016A000011124","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973934","1.2.2","2923","","","","0"
"2008-03","Canada","2016A000011124","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973935","1.3.1","2787","","r","","0"
"2008-03","Canada","2016A000011124","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973936","1.3.2","2579","","r","","0"
"2008-03","Canada","2016A000011124","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973937","1.4.1","398","","r","","0"
"2008-03","Canada","2016A000011124","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973938","1.4.2","344","","r","","0"
"2008-03","Canada","2016A000011124","Sub-bituminous, thermal","Production","Tonnes","288","thousands","3","v43973939","1.5.1","2213","","","","0"
"2008-03","Canada","2016A000011124","Lignite, thermal","Production","Tonnes","288","thousands","3","v43973940","1.6.1","849","","","","0"
"2008-03","Nova Scotia","2016A000212","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973941","2.1.1","","x","","","0"
"2008-03","Nova Scotia","2016A000212","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973942","2.2.1","","x","","","0"
"2008-03","Nova Scotia","2016A000212","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973943","2.3.1","","x","","","0"
"2008-03","Nova Scotia","2016A000212","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973944","2.4.1","","x","","","0"
"2008-03","New Brunswick","2016A000213","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973945","3.1.1","","x","","","0"
"2008-03","New Brunswick","2016A000213","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973946","3.2.1","","x","","","0"
"2008-03","New Brunswick","2016A000213","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973947","3.4.1","","x","","","0"
"2008-03","Saskatchewan","2016A000247","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973948","4.1.1","849","","","","0"
"2008-03","Saskatchewan","2016A000247","Lignite, thermal","Production","Tonnes","288","thousands","3","v43973949","4.6.1","849","","","","0"
"2008-03","Alberta","2016A000248","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973950","5.1.1","2849","","","","0"
"2008-03","Alberta","2016A000248","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973951","5.1.2","646","","","","0"
"2008-03","Alberta","2016A000248","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973952","5.2.1","636","","","","0"
"2008-03","Alberta","2016A000248","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973953","5.2.2","646","","","","0"
"2008-03","Alberta","2016A000248","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973954","5.3.1","321","","","","0"
"2008-03","Alberta","2016A000248","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973955","5.3.2","355","","","","0"
"2008-03","Alberta","2016A000248","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973956","5.4.1","315","","","","0"
"2008-03","Alberta","2016A000248","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973957","5.4.2","290","","","","0"
"2008-03","Alberta","2016A000248","Sub-bituminous, thermal","Production","Tonnes","288","thousands","3","v43973958","5.5.1","2213","","","","0"
"2008-03","British Columbia","2016A000259","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973959","6.1.1","2542","","r","","0"
"2008-03","British Columbia","2016A000259","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973960","6.1.2","2277","","","","0"
"2008-03","British Columbia","2016A000259","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973961","6.2.1","2542","","r","","0"
"2008-03","British Columbia","2016A000259","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973962","6.2.2","2277","","","","0"
"2008-03","British Columbia","2016A000259","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973963","6.3.1","2466","","r","","0"
"2008-03","British Columbia","2016A000259","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973964","6.3.2","2223","","r","","0"
"2008-03","British Columbia","2016A000259","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973965","6.4.1","75","","r","","0"
"2008-03","British Columbia","2016A000259","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973966","6.4.2","54","","r","","0"
"2008-04","Canada","2016A000011124","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973931","1.1.1","5779","","","","0"
"2008-04","Canada","2016A000011124","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973932","1.1.2","2454","","","","0"
"2008-04","Canada","2016A000011124","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973933","1.2.1","2972","","","","0"
"2008-04","Canada","2016A000011124","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973934","1.2.2","2454","","","","0"
"2008-04","Canada","2016A000011124","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973935","1.3.1","2598","","r","","0"
"2008-04","Canada","2016A000011124","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973936","1.3.2","2157","","r","","0"
"2008-04","Canada","2016A000011124","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973937","1.4.1","374","","r","","0"
